iter 0 | train loss 4.8531 | val loss 4.8599
iter 100 | train loss 2.4178 | val loss 2.4144
iter 200 | train loss 2.3532 | val loss 2.3384
iter 300 | train loss 2.2995 | val loss 2.2931
iter 400 | train loss 2.2027 | val loss 2.1965
iter 500 | train loss 1.9722 | val loss 1.9629
iter 600 | train loss 1.8199 | val loss 1.8154
iter 700 | train loss 1.7047 | val loss 1.7049
iter 800 | train loss 1.6310 | val loss 1.6325
iter 900 | train loss 1.5586 | val loss 1.5703
iter 1000 | train loss 1.5107 | val loss 1.5252
iter 1100 | train loss 1.4630 | val loss 1.4835
iter 1200 | train loss 1.4253 | val loss 1.4433
iter 1300 | train loss 1.3897 | val loss 1.4366
iter 1400 | train loss 1.3682 | val loss 1.4036
iter 1500 | train loss 1.3425 | val loss 1.3793
iter 1600 | train loss 1.3261 | val loss 1.3643
iter 1700 | train loss 1.3014 | val loss 1.3549
iter 1800 | train loss 1.2812 | val loss 1.3356
iter 1900 | train loss 1.2683 | val loss 1.3257
iter 2000 | train loss 1.2554 | val loss 1.3070
iter 2100 | train loss 1.2406 | val loss 1.3027
iter 2200 | train loss 1.2329 | val loss 1.2901
iter 2300 | train loss 1.2212 | val loss 1.2793
iter 2400 | train loss 1.2098 | val loss 1.2658
iter 2500 | train loss 1.2006 | val loss 1.2724
iter 2600 | train loss 1.1879 | val loss 1.2621
iter 2700 | train loss 1.1822 | val loss 1.2495
iter 2800 | train loss 1.1754 | val loss 1.2460
iter 2900 | train loss 1.1657 | val loss 1.2463
iter 3000 | train loss 1.1635 | val loss 1.2323
iter 3100 | train loss 1.1508 | val loss 1.2364
iter 3200 | train loss 1.1378 | val loss 1.2295
iter 3300 | train loss 1.1349 | val loss 1.2164
iter 3400 | train loss 1.1290 | val loss 1.2152
iter 3500 | train loss 1.1277 | val loss 1.2209
iter 3600 | train loss 1.1132 | val loss 1.2086
iter 3700 | train loss 1.1106 | val loss 1.2121
iter 3800 | train loss 1.1040 | val loss 1.2042
iter 3900 | train loss 1.0893 | val loss 1.2019
iter 4000 | train loss 1.0871 | val loss 1.2063
iter 4100 | train loss 1.0797 | val loss 1.2050
iter 4200 | train loss 1.0732 | val loss 1.2018
iter 4300 | train loss 1.0626 | val loss 1.1998
iter 4400 | train loss 1.0626 | val loss 1.1850
iter 4500 | train loss 1.0601 | val loss 1.1951
iter 4600 | train loss 1.0521 | val loss 1.1926
iter 4700 | train loss 1.0541 | val loss 1.1933
iter 4800 | train loss 1.0404 | val loss 1.1843
iter 4900 | train loss 1.0373 | val loss 1.1906
iter 5000 | train loss 1.0330 | val loss 1.1884
iter 5100 | train loss 1.0237 | val loss 1.1816
iter 5200 | train loss 1.0196 | val loss 1.1870
iter 5300 | train loss 1.0127 | val loss 1.1830
iter 5400 | train loss 1.0058 | val loss 1.1844
iter 5500 | train loss 1.0041 | val loss 1.1921
iter 5600 | train loss 1.0033 | val loss 1.1972
iter 5700 | train loss 0.9951 | val loss 1.1929
iter 5800 | train loss 0.9896 | val loss 1.1856
iter 5900 | train loss 0.9818 | val loss 1.2014
iter 6000 | train loss 0.9800 | val loss 1.1914
iter 6100 | train loss 0.9780 | val loss 1.1978
iter 6200 | train loss 0.9670 | val loss 1.1877
iter 6300 | train loss 0.9635 | val loss 1.1969
iter 6400 | train loss 0.9598 | val loss 1.1956
iter 6500 | train loss 0.9554 | val loss 1.1853
iter 6600 | train loss 0.9490 | val loss 1.1866
iter 6700 | train loss 0.9475 | val loss 1.1900
iter 6800 | train loss 0.9343 | val loss 1.2111
iter 6900 | train loss 0.9402 | val loss 1.1918
iter 7000 | train loss 0.9273 | val loss 1.1985
iter 7100 | train loss 0.9260 | val loss 1.2070
iter 7200 | train loss 0.9114 | val loss 1.2087
iter 7300 | train loss 0.9096 | val loss 1.2200
iter 7400 | train loss 0.9094 | val loss 1.2108
iter 7500 | train loss 0.9059 | val loss 1.2132
iter 7600 | train loss 0.8997 | val loss 1.2219
iter 7700 | train loss 0.8929 | val loss 1.2228
iter 7800 | train loss 0.8853 | val loss 1.2250
iter 7900 | train loss 0.8815 | val loss 1.2349
iter 8000 | train loss 0.8767 | val loss 1.2410
iter 8100 | train loss 0.8725 | val loss 1.2336
iter 8200 | train loss 0.8657 | val loss 1.2399
iter 8300 | train loss 0.8599 | val loss 1.2560
iter 8400 | train loss 0.8507 | val loss 1.2429
iter 8500 | train loss 0.8465 | val loss 1.2512
iter 8600 | train loss 0.8426 | val loss 1.2746
iter 8700 | train loss 0.8401 | val loss 1.2482
iter 8800 | train loss 0.8290 | val loss 1.2576
iter 8900 | train loss 0.8272 | val loss 1.2662
iter 9000 | train loss 0.8240 | val loss 1.2775
iter 9100 | train loss 0.8156 | val loss 1.2687
iter 9200 | train loss 0.8129 | val loss 1.2946
iter 9300 | train loss 0.8047 | val loss 1.2795
iter 9400 | train loss 0.8018 | val loss 1.3048
iter 9500 | train loss 0.7878 | val loss 1.2930
iter 9600 | train loss 0.7904 | val loss 1.2914
iter 9700 | train loss 0.7874 | val loss 1.3026
iter 9800 | train loss 0.7814 | val loss 1.3077
iter 9900 | train loss 0.7681 | val loss 1.3207
iter 10000 | train loss 0.7666 | val loss 1.3346
